,0,1,2,3,4
160,DAL,CLE,40胜27负,19胜46负,131:111
161,UTA,LAC,41胜23负,44胜20负,94:105
162,DET,WAS,20胜46负,24胜40负,99:115
163,NOP,BKN,28胜36负,30胜34负,125:135
164,MIL,MIN,53胜12负,19胜45负,134:106
165,HOU,MEM,40胜24负,32胜33负,107:100
166,PHI,PHX,39胜26负,26胜39负,109:114
167,POR,GSW,29胜37负,15胜50负,118:127
168,BOS,CLE,43胜21负,19胜46负,119:113
169,IND,CHA,39胜26负,23胜42负,120:122
170,SAS,ATL,27胜36负,20胜47负,100:108
171,LAL,CHI,49胜14负,22胜43负,118:112
172,ORL,OKC,30胜35负,40胜24负,94:102
173,MIA,DEN,41胜24负,43胜22负,89:109
174,WAS,IND,24胜40负,39胜26负,106:121
175,NYK,DET,21胜45负,20胜46负,102:122
176,CHI,ATL,22胜43负,20胜47负,113:93
177,SAC,TOR,28胜36负,46胜18负,120:124
178,GSW,HOU,15胜50负,40胜24负,112:129
179,MIN,MEM,19胜45负,32胜33负,121:137
180,ORL,DAL,30胜35负,40胜27负,106:107
181,PHI,UTA,39胜26负,41胜23负,104:106
182,MIL,LAC,53胜12负,44胜20负,129:124
183,BOS,CHA,43胜21负,23胜42负,108:87
184,OKC,SAS,40胜24负,27胜36负,112:121
185,MIA,PHX,41胜24负,26胜39负,124:108
186,POR,LAC,29胜37负,44胜20负,101:107
187,MEM,ORL,32胜33负,30胜35负,86:118
188,CLE,WAS,19胜46负,24胜40负,113:100
189,DET,IND,20胜46负,39胜26负,106:112
190,SAC,ATL,28胜36负,20胜47负,121:109
191,GSW,MIN,15胜50负,19胜45负,119:125
192,TOR,NOP,46胜18负,28胜36负,122:104
193,NYK,DAL,21胜45负,40胜27负,106:102
194,PHI,DEN,39胜26负,43胜22负,97:100
195,MIL,UTA,53胜12负,41胜23负,100:103
196,BKN,POR,30胜34负,29胜37负,119:115
197,MIA,LAL,41胜24负,49胜14负,80:95
198,BOS,SAS,43胜21负,27胜36负,135:115
199,NOP,CHA,28胜36负,23胜42负,115:110
200,DAL,MEM,40胜27负,32胜33负,138:122
201,GSW,OKC,15胜50负,40胜24负,108:114
202,HOU,CHI,40胜24负,22胜43负,117:94
